study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0708,21,Adelie,Anvers,"Adult, 1 Egg Stage",N11A1,Yes,2007-11-12,37.8,18.3,174,3400,Female,8.73762,-25.09383,NA,2007,smol penguin
PAL0708,22,Adelie,Anvers,"Adult, 1 Egg Stage",N11A2,Yes,2007-11-12,37.7,18.7,180,3600,Male,8.66271,-25.0639,NA,2007,mid penguin
PAL0708,23,Adelie,Anvers,"Adult, 1 Egg Stage",N12A1,Yes,2007-11-12,35.9,19.2,189,3800,Female,9.22286,-25.03474,NA,2007,mid penguin
PAL0708,24,Adelie,Anvers,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12,38.2,18.1,185,3950,Male,8.43423,-25.22664,NA,2007,mid penguin
PAL0708,25,Adelie,Anvers,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10,38.8,17.2,180,3800,Male,9.63954,-25.29856,NA,2007,mid penguin
PAL0708,26,Adelie,Anvers,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10,35.3,18.9,187,3800,Female,9.21292,-24.3613,NA,2007,mid penguin
PAL0708,27,Adelie,Anvers,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12,40.6,18.6,183,3550,Male,8.93997,-25.36288,NA,2007,mid penguin
PAL0708,28,Adelie,Anvers,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12,40.5,17.9,187,3200,Female,8.08138,-25.49448,NA,2007,smol penguin
PAL0708,29,Adelie,Anvers,"Adult, 1 Egg Stage",N18A1,No,2007-11-10,37.9,18.6,172,3150,Female,8.38404,-25.19837,Nest never observed with full clutch.,2007,smol penguin
PAL0708,30,Adelie,Anvers,"Adult, 1 Egg Stage",N18A2,No,2007-11-10,40.5,18.9,180,3950,Male,8.90027,-25.11609,Nest never observed with full clutch.,2007,mid penguin
PAL0809,51,Adelie,Anvers,"Adult, 1 Egg Stage",N21A1,Yes,2008-11-06,39.6,17.7,186,3500,Female,8.46616,-26.12989,NA,2008,smol penguin
PAL0809,52,Adelie,Anvers,"Adult, 1 Egg Stage",N21A2,Yes,2008-11-06,40.1,18.9,188,4300,Male,8.51362,-26.55602,NA,2008,mid penguin
PAL0809,53,Adelie,Anvers,"Adult, 1 Egg Stage",N22A1,Yes,2008-11-09,35,17.9,190,3450,Female,8.19539,-26.17213,NA,2008,smol penguin
PAL0809,54,Adelie,Anvers,"Adult, 1 Egg Stage",N22A2,Yes,2008-11-09,42,19.5,200,4050,Male,8.48095,-26.3146,NA,2008,mid penguin
PAL0809,55,Adelie,Anvers,"Adult, 1 Egg Stage",N23A1,Yes,2008-11-09,34.5,18.1,187,2900,Female,8.41837,-26.54718,NA,2008,smol penguin
PAL0809,56,Adelie,Anvers,"Adult, 1 Egg Stage",N23A2,Yes,2008-11-09,41.4,18.6,191,3700,Male,8.35396,-26.27853,NA,2008,mid penguin
