study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0708,31,Adelie,Anvers,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178,3250,Female,9.69756,-25.11223,NA,2007,smol penguin
PAL0708,32,Adelie,Anvers,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178,3900,Male,9.72764,-25.0102,NA,2007,mid penguin
PAL0708,33,Adelie,Anvers,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188,3300,Female,9.66523,-25.0602,NA,2007,smol penguin
PAL0708,34,Adelie,Anvers,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184,3900,Male,8.79665,-25.14591,NA,2007,mid penguin
PAL0708,35,Adelie,Anvers,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17,195,3325,Female,9.17847,-25.23061,NA,2007,smol penguin
PAL0708,36,Adelie,Anvers,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196,4150,Male,9.15308,-25.03469,NA,2007,mid penguin
PAL0708,37,Adelie,Anvers,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20,190,3950,Male,9.18985,-25.12255,NA,2007,mid penguin
PAL0708,38,Adelie,Anvers,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180,3550,Female,8.04787,-25.49523,NA,2007,mid penguin
PAL0708,39,Adelie,Anvers,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181,3300,Female,9.41131,-25.04169,Nest never observed with full clutch.,2007,smol penguin
PAL0708,40,Adelie,Anvers,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184,4650,Male,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.,2007,chonk penguin
PAL0708,41,Adelie,Anvers,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18,182,3150,Female,9.68933,-24.4228,NA,2007,smol penguin
PAL0708,42,Adelie,Anvers,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195,3900,Male,NA,NA,Not enough blood for isotopes.,2007,mid penguin
PAL0708,43,Adelie,Anvers,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36,18.5,186,3100,Female,9.50772,-25.03492,NA,2007,smol penguin
PAL0708,44,Adelie,Anvers,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196,4400,Male,9.2372,-24.52698,NA,2007,mid penguin
PAL0708,45,Adelie,Anvers,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37,16.9,185,3000,Female,9.36392,-25.01745,NA,2007,smol penguin
PAL0708,46,Adelie,Anvers,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190,4600,Male,9.49106,-24.10255,NA,2007,chonk penguin
