study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0708,1,Adelie,Anvers,"Adult, 1 Egg Stage",N1A1,Yes,2007-11-11,39.1,18.7,181,3750,Male,NA,NA,Not enough blood for isotopes.,2007,mid penguin
PAL0708,2,Adelie,Anvers,"Adult, 1 Egg Stage",N1A2,Yes,2007-11-11,39.5,17.4,186,3800,Female,8.94956,-24.69454,NA,2007,mid penguin
PAL0708,3,Adelie,Anvers,"Adult, 1 Egg Stage",N2A1,Yes,2007-11-16,40.3,18,195,3250,Female,8.36821,-25.33302,NA,2007,smol penguin
PAL0708,4,Adelie,Anvers,"Adult, 1 Egg Stage",N2A2,Yes,2007-11-16,NA,NA,NA,NA,NA,NA,NA,Adult not sampled.,2007,NA
PAL0708,5,Adelie,Anvers,"Adult, 1 Egg Stage",N3A1,Yes,2007-11-16,36.7,19.3,193,3450,Female,8.76651,-25.32426,NA,2007,smol penguin
PAL0708,6,Adelie,Anvers,"Adult, 1 Egg Stage",N3A2,Yes,2007-11-16,39.3,20.6,190,3650,Male,8.66496,-25.29805,NA,2007,mid penguin
PAL0708,7,Adelie,Anvers,"Adult, 1 Egg Stage",N4A1,No,2007-11-15,38.9,17.8,181,3625,Female,9.18718,-25.21799,Nest never observed with full clutch.,2007,mid penguin
PAL0708,8,Adelie,Anvers,"Adult, 1 Egg Stage",N4A2,No,2007-11-15,39.2,19.6,195,4675,Male,9.4606,-24.89958,Nest never observed with full clutch.,2007,chonk penguin
PAL0708,9,Adelie,Anvers,"Adult, 1 Egg Stage",N5A1,Yes,2007-11-09,34.1,18.1,193,3475,NA,NA,NA,No blood sample obtained.,2007,smol penguin
PAL0708,10,Adelie,Anvers,"Adult, 1 Egg Stage",N5A2,Yes,2007-11-09,42,20.2,190,4250,NA,9.13362,-25.09368,No blood sample obtained for sexing.,2007,mid penguin
PAL0708,11,Adelie,Anvers,"Adult, 1 Egg Stage",N6A1,Yes,2007-11-09,37.8,17.1,186,3300,NA,8.63243,-25.21315,No blood sample obtained for sexing.,2007,smol penguin
PAL0708,12,Adelie,Anvers,"Adult, 1 Egg Stage",N6A2,Yes,2007-11-09,37.8,17.3,180,3700,NA,NA,NA,No blood sample obtained.,2007,mid penguin
PAL0708,13,Adelie,Anvers,"Adult, 1 Egg Stage",N7A1,Yes,2007-11-15,41.1,17.6,182,3200,Female,NA,NA,Not enough blood for isotopes.,2007,smol penguin
PAL0708,14,Adelie,Anvers,"Adult, 1 Egg Stage",N7A2,Yes,2007-11-15,38.6,21.2,191,3800,Male,NA,NA,Not enough blood for isotopes.,2007,mid penguin
PAL0708,15,Adelie,Anvers,"Adult, 1 Egg Stage",N8A1,Yes,2007-11-16,34.6,21.1,198,4400,Male,8.55583,-25.22588,NA,2007,mid penguin
PAL0708,16,Adelie,Anvers,"Adult, 1 Egg Stage",N8A2,Yes,2007-11-16,36.6,17.8,185,3700,Female,NA,NA,Not enough blood for isotopes.,2007,mid penguin
PAL0708,17,Adelie,Anvers,"Adult, 1 Egg Stage",N9A1,Yes,2007-11-12,38.7,19,195,3450,Female,9.18528,-25.06691,NA,2007,smol penguin
PAL0708,18,Adelie,Anvers,"Adult, 1 Egg Stage",N9A2,Yes,2007-11-12,42.5,20.7,197,4500,Male,8.67538,-25.13993,NA,2007,chonk penguin
PAL0708,19,Adelie,Anvers,"Adult, 1 Egg Stage",N10A1,Yes,2007-11-16,34.4,18.4,184,3325,Female,8.47827,-25.23319,NA,2007,smol penguin
PAL0708,20,Adelie,Anvers,"Adult, 1 Egg Stage",N10A2,Yes,2007-11-16,46,21.5,194,4200,Male,9.11616,-24.77227,NA,2007,mid penguin
PAL0809,69,Adelie,Anvers,"Adult, 1 Egg Stage",N32A1,No,2008-11-11,35.9,16.6,190,3050,Female,8.47781,-26.07821,Nest never observed with full clutch.,2008,smol penguin
PAL0809,70,Adelie,Anvers,"Adult, 1 Egg Stage",N32A2,No,2008-11-11,41.8,19.4,198,4450,Male,8.86853,-26.06209,Nest never observed with full clutch.,2008,mid penguin
PAL0809,71,Adelie,Anvers,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14,33.5,19,190,3600,Female,7.88863,-26.63085,NA,2008,mid penguin
PAL0809,72,Adelie,Anvers,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14,39.7,18.4,190,3900,Male,9.29808,-25.23453,NA,2008,mid penguin
PAL0809,73,Adelie,Anvers,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11,39.6,17.2,196,3550,Female,8.33524,-26.55351,NA,2008,mid penguin
PAL0809,74,Adelie,Anvers,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11,45.8,18.9,197,4150,Male,8.18658,-26.45978,NA,2008,mid penguin
PAL0809,75,Adelie,Anvers,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08,35.5,17.5,190,3700,Female,8.70642,-26.15003,NA,2008,mid penguin
PAL0809,76,Adelie,Anvers,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08,42.8,18.5,195,4250,Male,8.2993,-26.38986,NA,2008,mid penguin
PAL0809,77,Adelie,Anvers,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06,40.9,16.8,191,3700,Female,8.47257,-26.02002,NA,2008,mid penguin
PAL0809,78,Adelie,Anvers,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06,37.2,19.4,184,3900,Male,8.3554,-26.44787,NA,2008,mid penguin
PAL0809,79,Adelie,Anvers,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09,36.2,16.1,187,3550,Female,7.82381,-26.51382,NA,2008,mid penguin
PAL0809,80,Adelie,Anvers,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09,42.1,19.1,195,4000,Male,9.05736,-25.81513,NA,2008,mid penguin
PAL0809,81,Adelie,Anvers,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02,34.6,17.2,189,3200,Female,7.69778,-26.5387,NA,2008,smol penguin
PAL0809,82,Adelie,Anvers,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02,42.9,17.6,196,4700,Male,8.63259,-26.23027,NA,2008,chonk penguin
PAL0809,83,Adelie,Anvers,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07,36.7,18.8,187,3800,Female,7.88494,-26.24837,NA,2008,mid penguin
PAL0809,84,Adelie,Anvers,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07,35.1,19.4,193,4200,Male,8.90002,-26.46254,NA,2008,mid penguin
PAL0910,117,Adelie,Anvers,"Adult, 1 Egg Stage",N63A1,Yes,2009-11-18,38.6,17,188,2900,Female,9.18021,-25.77264,NA,2009,smol penguin
PAL0910,118,Adelie,Anvers,"Adult, 1 Egg Stage",N63A2,Yes,2009-11-18,37.3,20.5,199,3775,Male,9.49645,-26.36678,NA,2009,mid penguin
PAL0910,119,Adelie,Anvers,"Adult, 1 Egg Stage",N64A1,Yes,2009-11-22,35.7,17,189,3350,Female,8.96436,-23.90309,NA,2009,smol penguin
PAL0910,120,Adelie,Anvers,"Adult, 1 Egg Stage",N64A2,Yes,2009-11-22,41.1,18.6,189,3325,Male,9.32277,-26.09989,NA,2009,smol penguin
PAL0910,121,Adelie,Anvers,"Adult, 1 Egg Stage",N66A1,No,2009-11-17,36.2,17.2,187,3150,Female,9.04296,-26.19444,Nest never observed with full clutch.,2009,smol penguin
PAL0910,122,Adelie,Anvers,"Adult, 1 Egg Stage",N66A2,No,2009-11-17,37.7,19.8,198,3500,Male,9.11066,-26.42563,Nest never observed with full clutch.,2009,smol penguin
PAL0910,123,Adelie,Anvers,"Adult, 1 Egg Stage",N67A1,Yes,2009-11-16,40.2,17,176,3450,Female,9.30722,-25.61039,NA,2009,smol penguin
PAL0910,124,Adelie,Anvers,"Adult, 1 Egg Stage",N67A2,Yes,2009-11-16,41.4,18.5,202,3875,Male,9.59462,-25.42621,NA,2009,mid penguin
PAL0910,125,Adelie,Anvers,"Adult, 1 Egg Stage",N69A1,Yes,2009-11-18,35.2,15.9,186,3050,Female,8.81668,-25.95399,NA,2009,smol penguin
PAL0910,126,Adelie,Anvers,"Adult, 1 Egg Stage",N69A2,Yes,2009-11-18,40.6,19,199,4000,Male,9.22537,-25.60826,NA,2009,mid penguin
PAL0910,127,Adelie,Anvers,"Adult, 1 Egg Stage",N71A1,Yes,2009-11-21,38.8,17.6,191,3275,Female,8.88098,-25.89741,NA,2009,smol penguin
PAL0910,128,Adelie,Anvers,"Adult, 1 Egg Stage",N71A2,Yes,2009-11-21,41.5,18.3,195,4300,Male,8.52566,-26.0245,NA,2009,mid penguin
PAL0910,129,Adelie,Anvers,"Adult, 1 Egg Stage",N72A1,Yes,2009-11-18,39,17.1,191,3050,Female,9.19031,-25.73722,NA,2009,smol penguin
PAL0910,130,Adelie,Anvers,"Adult, 1 Egg Stage",N72A2,Yes,2009-11-18,44.1,18,210,4000,Male,9.10702,-26.01363,NA,2009,mid penguin
